,dataset,variant,ROCAUC
0,10_cover.npz,KNN,0.8551191563824881
0,10_cover.npz,KNN-BB,0.8179983283653088
0,10_cover.npz,KNN-WB,0.6779088787460853
1,10_cover.npz,LOF,0.5601954654804328
1,10_cover.npz,LOF-BB,0.553160589685568
1,10_cover.npz,LOF-WB,0.46444128550311303
2,10_cover.npz,ODIN,0.5234281201453846
36,13_fraud.npz,KNN,0.960832380867682
4,13_fraud.npz,KNN-BB,0.9574823642066713
2,13_fraud.npz,KNN-WB,0.7572584170864425
37,13_fraud.npz,LOF,0.4864555135876205
5,13_fraud.npz,LOF-BB,0.5684441762826375
3,13_fraud.npz,LOF-WB,0.5471413884714323
38,13_fraud.npz,ODIN,0.5905997079498003
69,16_http.npz,KNN,0.997880615211385
6,16_http.npz,KNN-BB,0.9936095831270298
4,16_http.npz,KNN-WB,0.9026452035285597
70,16_http.npz,LOF,0.6718166777863931
7,16_http.npz,LOF-BB,0.6890626437771962
5,16_http.npz,LOF-WB,0.4253593834446683
71,16_http.npz,ODIN,0.5124160573357136
81,17_InternetAds.npz,KNN,0.7206086412363281
8,17_InternetAds.npz,KNN-BB,0.731344106466303
6,17_InternetAds.npz,KNN-WB,0.777118684148324
82,17_InternetAds.npz,LOF,0.6262286077705828
9,17_InternetAds.npz,LOF-BB,0.6461236308888149
7,17_InternetAds.npz,LOF-WB,0.5276672798368884
83,17_InternetAds.npz,ODIN,0.5316360124068129
117,1_ALOI.npz,KNN,0.6395482232711923
10,1_ALOI.npz,KNN-BB,0.6628400477647994
8,1_ALOI.npz,KNN-WB,0.7723911776836784
118,1_ALOI.npz,LOF,0.7567387445748053
11,1_ALOI.npz,LOF-BB,0.7462882795658311
9,1_ALOI.npz,LOF-WB,0.806955548221849
119,1_ALOI.npz,ODIN,0.7826149388466747
177,24_mnist.npz,KNN,0.8296978539351422
12,24_mnist.npz,KNN-BB,0.8122730724822885
10,24_mnist.npz,KNN-WB,0.4986811576488483
178,24_mnist.npz,LOF,0.622201113387554
13,24_mnist.npz,LOF-BB,0.6307020187910019
11,24_mnist.npz,LOF-WB,0.499034103314294
179,24_mnist.npz,ODIN,0.6064804122431241
189,25_musk.npz,KNN,0.7875280332400341
14,25_musk.npz,KNN-BB,0.6190284037568888
12,25_musk.npz,KNN-WB,0.48502639253490026
190,25_musk.npz,LOF,0.4130317623128944
15,25_musk.npz,LOF-BB,0.5025446195737209
13,25_musk.npz,LOF-WB,0.3386888592861737
191,25_musk.npz,ODIN,0.491844717581405
333,36_speech.npz,KNN,0.4792764273600904
20,36_speech.npz,KNN-BB,0.4989449382890521
14,36_speech.npz,KNN-WB,0.7609851328434144
334,36_speech.npz,LOF,0.5222159412097229
21,36_speech.npz,LOF-BB,0.5111181953080837
15,36_speech.npz,LOF-WB,0.655842778405879
335,36_speech.npz,ODIN,0.6525698134539288
381,3_backdoor.npz,KNN,0.7553066856713828
22,3_backdoor.npz,KNN-BB,0.7405457545172274
16,3_backdoor.npz,KNN-WB,0.793777588361407
382,3_backdoor.npz,LOF,0.702599795965668
23,3_backdoor.npz,LOF-BB,0.7229778150626957
17,3_backdoor.npz,LOF-WB,0.5571190207948511
383,3_backdoor.npz,ODIN,0.5669774164621977
501,5_campaign.npz,KNN,0.7272702578423084
24,5_campaign.npz,KNN-BB,0.6837917238978318
18,5_campaign.npz,KNN-WB,0.5518795595742302
502,5_campaign.npz,LOF,0.5172942767989569
25,5_campaign.npz,LOF-BB,0.512773358921706
19,5_campaign.npz,LOF-WB,0.5046764105188607
503,5_campaign.npz,ODIN,0.625612185015077
537,8_celeba.npz,KNN,0.5441260689616404
26,8_celeba.npz,KNN-BB,0.5471484317174123
20,8_celeba.npz,KNN-WB,0.5425180987436536
538,8_celeba.npz,LOF,0.4452394037617078
27,8_celeba.npz,LOF-BB,0.47035597104027665
21,8_celeba.npz,LOF-WB,0.5032322441824496
539,8_celeba.npz,ODIN,0.4453592702418953
549,9_census.npz,KNN,0.516312396549656
28,9_census.npz,KNN-BB,0.506400194821892
22,9_census.npz,KNN-WB,0.49595588174286237
550,9_census.npz,LOF,0.5054021933914821
29,9_census.npz,LOF-BB,0.5007418085312577
23,9_census.npz,LOF-WB,0.47324559743900724
551,9_census.npz,ODIN,0.5139540429154155
