,dataset,variant,ROCAUC
0,10_cover.npz,KNN,0.8551191563824881
0,10_cover.npz,KNN-BB,0.8179983283653088
0,10_cover.npz,KNN-WB,0.6779088787460853
1,10_cover.npz,LOF,0.5601954654804328
1,10_cover.npz,LOF-BB,0.553160589685568
1,10_cover.npz,LOF-WB,0.46444128550311303
2,10_cover.npz,ODIN,0.5234281201453846
12,11_donors.npz,KNN,0.3573938310366753
2,11_donors.npz,KNN-BB,0.3701544803124593
13,11_donors.npz,LOF,0.5014498008312593
3,11_donors.npz,LOF-BB,0.4927237738337263
14,11_donors.npz,ODIN,0.4986254094989594
24,12_fault.npz,KNN,0.7332381023806956
25,12_fault.npz,LOF,0.5878569988891024
26,12_fault.npz,ODIN,0.5998553958217125
36,13_fraud.npz,KNN,0.960832380867682
4,13_fraud.npz,KNN-BB,0.9574823642066713
2,13_fraud.npz,KNN-WB,0.7572584170864425
37,13_fraud.npz,LOF,0.4864555135876205
5,13_fraud.npz,LOF-BB,0.5684441762826375
3,13_fraud.npz,LOF-WB,0.5471413884714323
38,13_fraud.npz,ODIN,0.5905997079498003
48,14_glass.npz,KNN,0.8693766937669376
49,14_glass.npz,LOF,0.8661246612466125
50,14_glass.npz,ODIN,0.7116531165311653
60,15_Hepatitis.npz,KNN,0.5866819747416763
61,15_Hepatitis.npz,LOF,0.5545350172215845
62,15_Hepatitis.npz,ODIN,0.5327210103329507
69,16_http.npz,KNN,0.997880615211385
6,16_http.npz,KNN-BB,0.9936095831270298
4,16_http.npz,KNN-WB,0.9026452035285597
70,16_http.npz,LOF,0.6718166777863931
7,16_http.npz,LOF-BB,0.6890626437771962
5,16_http.npz,LOF-WB,0.4253593834446683
71,16_http.npz,ODIN,0.5124160573357136
81,17_InternetAds.npz,KNN,0.7206086412363281
8,17_InternetAds.npz,KNN-BB,0.731344106466303
6,17_InternetAds.npz,KNN-WB,0.777118684148324
82,17_InternetAds.npz,LOF,0.6262286077705828
9,17_InternetAds.npz,LOF-BB,0.6461236308888149
7,17_InternetAds.npz,LOF-WB,0.5276672798368884
83,17_InternetAds.npz,ODIN,0.5316360124068129
93,18_Ionosphere.npz,KNN,0.9162433862433864
94,18_Ionosphere.npz,LOF,0.8711111111111113
95,18_Ionosphere.npz,ODIN,0.8505467372134039
105,19_landsat.npz,KNN,0.6010072686733032
106,19_landsat.npz,LOF,0.5506379534907246
107,19_landsat.npz,ODIN,0.4956913473762404
117,1_ALOI.npz,KNN,0.6395482232711923
10,1_ALOI.npz,KNN-BB,0.6628400477647994
8,1_ALOI.npz,KNN-WB,0.7723911776836784
118,1_ALOI.npz,LOF,0.7567387445748053
11,1_ALOI.npz,LOF-BB,0.7462882795658311
9,1_ALOI.npz,LOF-WB,0.806955548221849
119,1_ALOI.npz,ODIN,0.7826149388466747
129,20_letter.npz,KNN,0.8657300000000001
130,20_letter.npz,LOF,0.9089066666666664
131,20_letter.npz,ODIN,0.9218633333333334
141,21_Lymphography.npz,KNN,0.9953051643192488
142,21_Lymphography.npz,LOF,0.9730046948356808
143,21_Lymphography.npz,ODIN,0.9559859154929576
153,22_magic.gamma.npz,KNN,0.8044671400367349
154,22_magic.gamma.npz,LOF,0.6832182426549669
155,22_magic.gamma.npz,ODIN,0.6357023746036685
165,23_mammography.npz,KNN,0.8130770451748212
166,23_mammography.npz,LOF,0.6503652028196207
167,23_mammography.npz,ODIN,0.586565428160299
177,24_mnist.npz,KNN,0.8296978539351422
12,24_mnist.npz,KNN-BB,0.8122730724822885
10,24_mnist.npz,KNN-WB,0.4986811576488483
178,24_mnist.npz,LOF,0.622201113387554
13,24_mnist.npz,LOF-BB,0.6307020187910019
11,24_mnist.npz,LOF-WB,0.499034103314294
179,24_mnist.npz,ODIN,0.6064804122431241
189,25_musk.npz,KNN,0.7875280332400341
14,25_musk.npz,KNN-BB,0.6190284037568888
12,25_musk.npz,KNN-WB,0.48502639253490026
190,25_musk.npz,LOF,0.4130317623128944
15,25_musk.npz,LOF-BB,0.5025446195737209
13,25_musk.npz,LOF-WB,0.3386888592861737
191,25_musk.npz,ODIN,0.491844717581405
201,26_optdigits.npz,KNN,0.4054447953678116
16,26_optdigits.npz,KNN-BB,0.41967135409812695
202,26_optdigits.npz,LOF,0.598499802605606
17,26_optdigits.npz,LOF-BB,0.599204653435759
203,26_optdigits.npz,ODIN,0.5324299249901304
213,27_PageBlocks.npz,KNN,0.5826356346347673
214,27_PageBlocks.npz,LOF,0.7454899551465066
215,27_PageBlocks.npz,ODIN,0.6626473198331145
225,28_pendigits.npz,KNN,0.7571100952468244
226,28_pendigits.npz,LOF,0.493871397691773
227,28_pendigits.npz,ODIN,0.5134563827593318
237,29_Pima.npz,KNN,0.63675
238,29_Pima.npz,LOF,0.5211343283582089
239,29_Pima.npz,ODIN,0.5163432835820896
249,2_annthyroid.npz,KNN,0.7222291049329652
250,2_annthyroid.npz,LOF,0.7385876228072246
251,2_annthyroid.npz,ODIN,0.7110911933890017
261,30_satellite.npz,KNN,0.7066092333897998
262,30_satellite.npz,LOF,0.5375288454109279
263,30_satellite.npz,ODIN,0.4868896574547439
273,31_satimage-2.npz,KNN,0.9728249117875432
274,31_satimage-2.npz,LOF,0.577477074589898
275,31_satimage-2.npz,ODIN,0.5482477910028208
285,32_shuttle.npz,KNN,0.7646989599896525
18,32_shuttle.npz,KNN-BB,0.7627235223929608
286,32_shuttle.npz,LOF,0.5541703123987246
19,32_shuttle.npz,LOF-BB,0.5644803328182709
287,32_shuttle.npz,ODIN,0.5145751693166876
297,33_skin.npz,KNN,0.297334309181611
298,33_skin.npz,LOF,0.4441277398400866
299,33_skin.npz,ODIN,0.4940814704978202
309,34_smtp.npz,KNN,0.9337773058890314
310,34_smtp.npz,LOF,0.8298383197022897
311,34_smtp.npz,ODIN,0.7581924675342879
321,35_SpamBase.npz,KNN,0.7170511003385076
322,35_SpamBase.npz,LOF,0.4557447357905927
323,35_SpamBase.npz,ODIN,0.4888413556140258
333,36_speech.npz,KNN,0.4792764273600904
20,36_speech.npz,KNN-BB,0.4989449382890521
14,36_speech.npz,KNN-WB,0.7609851328434144
334,36_speech.npz,LOF,0.5222159412097229
21,36_speech.npz,LOF-BB,0.5111181953080837
15,36_speech.npz,LOF-WB,0.655842778405879
335,36_speech.npz,ODIN,0.6525698134539288
345,37_Stamps.npz,KNN,0.8975884747886
346,37_Stamps.npz,LOF,0.6082054494206075
347,37_Stamps.npz,ODIN,0.626474579810001
357,38_thyroid.npz,KNN,0.950530035335689
358,38_thyroid.npz,LOF,0.7454456710127518
359,38_thyroid.npz,ODIN,0.7068964509406775
369,39_vertebral.npz,KNN,0.3125396825396825
370,39_vertebral.npz,LOF,0.4844444444444444
371,39_vertebral.npz,ODIN,0.5077777777777778
381,3_backdoor.npz,KNN,0.7553066856713828
22,3_backdoor.npz,KNN-BB,0.7405457545172274
16,3_backdoor.npz,KNN-WB,0.793777588361407
382,3_backdoor.npz,LOF,0.702599795965668
23,3_backdoor.npz,LOF-BB,0.7229778150626957
17,3_backdoor.npz,LOF-WB,0.5571190207948511
383,3_backdoor.npz,ODIN,0.5669774164621977
393,40_vowels.npz,KNN,0.9627169274537696
394,40_vowels.npz,LOF,0.9463726884779516
395,40_vowels.npz,ODIN,0.8702133712660027
405,41_Waveform.npz,KNN,0.7766556984744242
406,41_Waveform.npz,LOF,0.7103679329943163
407,41_Waveform.npz,ODIN,0.6061860604247682
417,42_WBC.npz,KNN,0.9971830985915492
418,42_WBC.npz,LOF,0.7469483568075117
419,42_WBC.npz,ODIN,0.7906103286384977
429,43_WDBC.npz,KNN,0.9985994397759104
430,43_WDBC.npz,LOF,0.999719887955182
431,43_WDBC.npz,ODIN,0.8791316526610644
441,44_Wilt.npz,KNN,0.7087260348983397
442,44_Wilt.npz,LOF,0.7340626423321056
443,44_Wilt.npz,ODIN,0.7209019868069333
453,45_wine.npz,KNN,0.9983193277310924
454,45_wine.npz,LOF,0.9588235294117649
455,45_wine.npz,ODIN,0.9067226890756304
465,46_WPBC.npz,KNN,0.531844441313231
466,46_WPBC.npz,LOF,0.5234606171621812
467,46_WPBC.npz,ODIN,0.4960546709877413
477,47_yeast.npz,KNN,0.4012595414453536
478,47_yeast.npz,LOF,0.457920737111352
479,47_yeast.npz,ODIN,0.4628607882682364
489,4_breastw.npz,KNN,0.9600043765417364
490,4_breastw.npz,LOF,0.4140009548818333
491,4_breastw.npz,ODIN,0.5496638020211666
501,5_campaign.npz,KNN,0.7272702578423084
24,5_campaign.npz,KNN-BB,0.6837917238978318
18,5_campaign.npz,KNN-WB,0.5518795595742302
502,5_campaign.npz,LOF,0.5172942767989569
25,5_campaign.npz,LOF-BB,0.512773358921706
